matrix
"[[-0.17717403  2.479271    0.99043477  1.0550193 ]
 [-0.75664914  0.71718746  0.6095805   1.3072665 ]
 [-0.09314959  0.54759467  0.91942376  0.28846872]
 [-0.21597457  1.8421482  -0.35515952  1.1799755 ]]"
"[[ 0.16818485  0.13303052 -0.7087579   0.73768914]
 [ 0.52182126  0.48126966 -1.2298464   1.3916136 ]
 [-0.5098783  -0.6817395   0.79866815  1.4748579 ]
 [-0.5384471   0.7210495   0.35543865  1.3002508 ]]"
"[[-1.0484763  -0.65095824 -0.41020054 -0.9230313 ]
 [ 1.3380963  -2.1519992   0.32042858  0.92779773]
 [-0.9450626  -1.5533067  -1.6959977  -0.55272824]
 [-2.6424966  -1.4353426  -0.13953651 -0.05783187]]"
